Date,Company,Open,High,Low,Close,Volume,PE_Ratio,Valuation
2023-01-03,ACN,254.96427279810547,258.96111341346256,252.92794521128488,255.9682159423828,2250100,15.839353,Undervalued
2023-01-04,ACN,258.97057352593293,260.4386243675024,252.89008966971878,255.09686279296875,2052400,15.839353,Undervalued
2023-01-05,ACN,253.27835768742105,253.96028393660174,247.57668771673565,249.07315063476562,2477100,15.839353,Undervalued
2023-01-06,ACN,250.02028394016847,256.1860040413226,247.54829029848065,254.97369384765625,1587000,15.839353,Undervalued
2023-01-09,ACN,257.54049786855575,263.76304499349095,257.1521757809811,259.2737121582031,2181500,15.839353,Undervalued
2023-01-10,ACN,258.88529033525884,261.67930064089217,256.92474868637396,260.3912048339844,1853000,15.839353,Undervalued
2023-01-11,ACN,261.45633417149367,267.40955589629914,261.24711468213036,267.304931640625,2382400,15.839353,Undervalued
2023-01-12,ACN,268.8835900239537,273.857290874346,268.53172746882575,269.9296875,2482500,15.839353,Undervalued
2023-01-13,ACN,266.582205606642,268.8075244157445,265.3078792299073,268.3130187988281,2226800,15.839353,Undervalued
2023-01-17,ACN,269.16890907772006,273.6480753561777,268.5032027591104,270.9187316894531,2863700,15.839353,Undervalued
2023-01-18,ACN,270.63341474536617,273.2011059321021,263.4058954472676,264.2807922363281,2192700,15.839353,Undervalued
2023-01-19,ACN,263.6911683996022,265.27933845853534,259.2310117744726,259.5163269042969,2212500,15.839353,Undervalued
2023-01-20,ACN,261.047367694325,267.29539362408724,259.44018850042306,266.72479248046875,3306600,15.839353,Undervalued
2023-01-23,ACN,264.90843462520303,269.00720945465554,263.83380859401296,265.65020751953125,2593300,15.839353,Undervalued
2023-01-24,ACN,263.14911463029597,264.4900174772024,259.60193134002725,261.3992919921875,2205300,15.839353,Undervalued
2023-01-25,ACN,257.47165705471156,260.3341532874825,252.64062873324107,259.7730712890625,2576300,15.839353,Undervalued
2023-01-26,ACN,263.5865746996802,263.7387079434228,257.59530520235677,260.8191833496094,1942600,15.839353,Undervalued
2023-01-27,ACN,259.86821108102083,265.72632816627566,259.5638865259977,263.6816711425781,2101100,15.839353,Undervalued
2023-01-30,ACN,260.1630068958578,263.8528621799087,259.91573957620926,260.8762512207031,1732900,15.839353,Undervalued
2023-01-31,ACN,261.4658853630401,265.37445068359375,260.48636422984634,265.37445068359375,1841800,15.839353,Undervalued
2023-02-01,ACN,263.04447006541835,271.28955686857915,262.18858281907376,269.701416015625,1797000,15.839353,Undervalued
2023-02-02,ACN,275.23622184734984,281.2940385424573,272.80165470334475,279.6868591308594,2715900,15.839353,Undervalued
2023-02-03,ACN,274.09505852879806,275.48349944766665,272.7066176099294,275.0460510253906,2168000,15.839353,Undervalued
2023-02-06,ACN,271.9838280871772,273.6956028090018,269.549289849834,270.538330078125,1262400,15.839353,Undervalued
2023-02-07,ACN,268.8456137992079,274.69421235799,268.655403674536,273.7146911621094,1401100,15.839353,Undervalued
2023-02-08,ACN,271.86972348540826,275.0079869297069,270.0628436531762,270.7570495605469,1381800,15.839353,Undervalued
2023-02-09,ACN,273.3342804393106,275.1982176357914,270.4813029046613,271.1850280761719,1752000,15.839353,Undervalued
2023-02-10,ACN,267.89453936924656,270.6238825946415,267.2478425561434,270.04376220703125,1347600,15.839353,Undervalued
2023-02-13,ACN,270.4337585214532,274.27577671613574,270.4337585214532,274.2187194824219,1284500,15.839353,Undervalued
2023-02-14,ACN,271.4797931822422,274.0189555812879,269.4636940001903,270.8140869140625,1821100,15.839353,Undervalued
2023-02-15,ACN,268.17987685814813,273.7241501951512,268.1513482448938,273.552978515625,1890200,15.839353,Undervalued
2023-02-16,ACN,269.1594044441237,271.4703092395086,264.98456248646016,267.4381103515625,1899200,15.839353,Undervalued
2023-02-17,ACN,265.11763928001903,265.70724987817397,261.43730362471183,263.472412109375,2722400,15.839353,Undervalued
2023-02-21,ACN,258.6699442497183,259.7635797537298,255.60774742529438,255.95960998535156,2446200,15.839353,Undervalued
2023-02-22,ACN,257.36703839677483,259.13587005903014,255.01808636802974,256.4160461425781,1823800,15.839353,Undervalued
2023-02-23,ACN,257.50014476720895,258.9551616566276,254.685216011741,257.9376220703125,1885500,15.839353,Undervalued
2023-02-24,ACN,254.29534575231133,254.29534575231133,251.2902064771558,253.46798706054688,1735000,15.839353,Undervalued
2023-02-27,ACN,255.73136440500826,256.75842340580175,252.45994829583753,253.20172119140625,1512900,15.839353,Undervalued
2023-02-28,ACN,251.71818644877908,255.33194604283605,249.87325882872253,252.53602600097656,2160400,15.839353,Undervalued
2023-03-01,ACN,252.02247994777295,252.93542443410172,248.9222357475128,250.67205810546875,1700500,15.839353,Undervalued
2023-03-02,ACN,250.94789492704166,253.1446851873463,248.79864268093073,252.26026916503906,2278300,15.839353,Undervalued
2023-03-03,ACN,254.78035290889153,256.50164666589643,252.95443490649794,256.00714111328125,1596100,15.839353,Undervalued
2023-03-06,ACN,256.9581186927456,258.71743114542517,255.8929829895817,256.4160461425781,1649100,15.839353,Undervalued
2023-03-07,ACN,256.0261840923826,256.8060048530824,250.78620649707665,251.25221252441406,2219300,15.839353,Undervalued
2023-03-08,ACN,250.5199087716709,252.57405573831534,249.62597363742796,250.7386474609375,1462700,15.839353,Undervalued
2023-03-09,ACN,252.80228673492172,253.629674468047,246.04074497395047,247.02978515625,1949800,15.839353,Undervalued
2023-03-10,ACN,247.3911801104404,247.5813611797432,239.26969678179262,240.55352783203125,2924600,15.839353,Undervalued
2023-03-13,ACN,240.70568569770728,242.7503135427202,237.02534977228711,238.993896484375,3232100,15.839353,Undervalued
2023-03-14,ACN,243.8059273969724,244.1482997670828,237.71007687998429,240.1065673828125,2925600,15.839353,Undervalued
2023-03-15,ACN,235.80808901697273,235.81759371730277,230.9009646019993,234.10580444335938,4508000,15.839353,Undervalued
2023-03-16,ACN,232.94559815394703,241.36188715633122,231.5951906137813,240.52500915527344,4119600,15.839353,Undervalued
2023-03-17,ACN,241.8659068804793,243.197290480379,236.2455381268449,237.74810791015625,6470800,15.839353,Undervalued
2023-03-20,ACN,238.43282358851377,241.44746785507434,237.75761257730636,240.1731414794922,3182100,15.839353,Undervalued
2023-03-21,ACN,242.38894951381138,245.83153738610696,241.49501432883037,244.99465942382812,2831200,15.839353,Undervalued
2023-03-22,ACN,244.652298520458,248.51332509665355,240.6295904768923,240.8578338623047,3059300,15.839353,Undervalued
2023-03-23,ACN,246.7349795392746,261.1519981850363,246.59230746761338,258.3465881347656,5166900,15.839353,Undervalued
2023-03-24,ACN,257.1958649823757,258.7459579675616,251.84177398465928,258.6698913574219,4123600,15.839353,Undervalued
2023-03-27,ACN,257.46215742020007,260.9142351120983,257.37657159530823,260.5338439941406,3743800,15.839353,Undervalued
2023-03-28,ACN,260.49585964467377,262.6260734045133,259.2405426696315,261.5229187011719,2869400,15.839353,Undervalued
2023-03-29,ACN,262.47391267093235,266.52514974049745,262.47391267093235,266.2208251953125,2431500,15.839353,Undervalued
2023-03-30,ACN,267.2288747072376,269.168907404222,267.0196552102884,268.8075256347656,2293600,15.839353,Undervalued
2023-03-31,ACN,269.2449592673452,271.9457741567997,268.759943864195,271.8031311035156,3009300,15.839353,Undervalued
2023-04-03,ACN,269.50178132049746,272.42130626928105,269.2830425952971,271.8316955566406,2417300,15.839353,Undervalued
2023-04-04,ACN,270.5003118471319,273.34377016479567,270.2910923340671,271.8316955566406,2331700,15.839353,Undervalued
2023-04-05,ACN,272.21210156989076,272.83976014324213,267.14332398578125,267.542724609375,2443200,15.839353,Undervalued
2023-04-06,ACN,266.9055519832688,268.40810732672423,265.1937481120806,267.89459228515625,2125300,15.839353,Undervalued
2023-04-10,ACN,264.36632457970006,267.9230553066304,262.81620257871435,267.87548828125,1575900,15.839353,Undervalued
2023-04-11,ACN,269.1403652650668,273.56247406898,268.70288787035133,272.2976379394531,3122500,15.839353,Undervalued
2023-04-12,ACN,275.3336895260681,275.58189869396256,270.1304165529962,270.9132995605469,2656000,15.839353,Undervalued
2023-04-13,ACN,270.1876999617126,272.4981517706031,267.05619704278877,272.35491943359375,3164200,15.839353,Undervalued
2023-04-14,ACN,270.46455672849885,272.04940667412944,265.20400286539586,266.6074523925781,2871700,15.839353,Undervalued
2023-04-17,ACN,266.1587290578958,269.0611066107493,266.1587290578958,267.3044128417969,2899000,15.839353,Undervalued
2023-04-18,ACN,268.6219205410419,268.6696743629812,265.80549394082135,267.2853088378906,1893800,15.839353,Undervalued
2023-04-19,ACN,266.17785242693003,267.3235363800831,264.94627568363666,267.2280578613281,2204700,15.839353,Undervalued
2023-04-20,ACN,264.7267003997686,265.00357938679576,261.59519701697445,263.07501220703125,2686100,15.839353,Undervalued
2023-04-21,ACN,263.2468587992445,265.2517619818022,262.93178260590355,263.8196716308594,1600700,15.839353,Undervalued
2023-04-24,ACN,263.31366292840056,265.051272849748,262.41621732664765,264.6980285644531,1359700,15.839353,Undervalued
2023-04-25,ACN,263.3709451775579,264.18246885905273,258.3395449698139,258.444580078125,1935400,15.839353,Undervalued
2023-04-26,ACN,259.5425272705696,261.18465879055117,257.9672336297392,258.9314880371094,2009400,15.839353,Undervalued
2023-04-27,ACN,261.4519539166204,263.97241765201704,258.56866018021935,262.9795227050781,1983600,15.839353,Undervalued
2023-04-28,ACN,261.3278104946555,267.73401891045756,261.3278104946555,267.6003723144531,2084500,15.839353,Undervalued
2023-05-01,ACN,266.4546687488231,267.23755162822874,264.8889321259582,266.7697448730469,1165600,15.839353,Undervalued
2023-05-02,ACN,267.1898022343856,267.68627876902906,261.62375835242096,264.2110595703125,1728300,15.839353,Undervalued
2023-05-03,ACN,265.5286401328367,266.9225332454448,262.37805302473345,262.72174072265625,1951200,15.839353,Undervalued
2023-05-04,ACN,260.90773892602544,261.3851023263684,253.65180941362206,254.4346923828125,2586200,15.839353,Undervalued
2023-05-05,ACN,257.0315506186776,258.13903720453084,252.42023298808638,253.6231689453125,2592700,15.839353,Undervalued
2023-05-08,ACN,253.97645013471592,254.9120930250246,251.53235149876053,252.83079528808594,1843000,15.839353,Undervalued
2023-05-09,ACN,251.0454028638157,252.51566103581968,249.8328812815138,251.55140686035156,2712000,15.839353,Undervalued
2023-05-10,ACN,253.81414437215264,257.69033313585066,252.44889193984486,256.7165222167969,2800200,15.839353,Undervalued
2023-05-11,ACN,258.0721945896137,260.1057673007927,256.0386218784347,259.9434509277344,2915700,15.839353,Undervalued
